timestamp_ns,device,channel,sensor_type,differential,voltage
1765400101796517120,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796523008,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796529920,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796537088,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796570112,T7,AIN2,Voltage,true,-0.01138623058795929
1765400101796578048,T7,AIN2,Voltage,true,-0.011070836335420609
1765400101796585984,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796592896,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101796599040,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101796605952,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101796613120,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796620032,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796625920,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101796633088,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101796640000,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796645888,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796653056,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796658944,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796666112,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796672000,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796678912,T7,AIN2,Voltage,true,-0.01138623058795929
1765400101796686080,T7,AIN2,Voltage,true,-0.01138623058795929
1765400101796691968,T7,AIN2,Voltage,true,-0.01138623058795929
1765400101796698880,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796705024,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796711936,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796719104,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796724992,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796731904,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796739072,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796744960,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796751872,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101796759040,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796764928,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796772096,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796779008,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796784896,T7,AIN2,Voltage,true,-0.01138623058795929
1765400101796792064,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796797952,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796805120,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101796812032,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796817920,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796824064,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101796830976,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796837888,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796844032,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101796850944,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796857088,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101796864000,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796870912,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796877056,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796883968,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796890112,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101796897024,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796902912,T7,AIN2,Voltage,true,-0.01138623058795929
1765400101796910080,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796915968,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796922880,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796930048,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796936960,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796943104,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101796950016,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796955904,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101796963072,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101796969984,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101796976128,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101796983040,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101796988928,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101796996096,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797003008,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797008896,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797016064,T7,AIN2,Voltage,true,-0.01138623058795929
1765400101797021952,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101797029120,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101797036032,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797041920,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797049088,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101797056000,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101797061888,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101797069056,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101797074944,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101797082112,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797089024,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797094912,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101797102080,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101797108992,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797114880,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101797122048,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101797127936,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101797135104,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101797142016,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797147904,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101797155072,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101797160960,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101797168128,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101797175040,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101797180928,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101797188096,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101797193984,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101797200896,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101797208064,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101797213952,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797221120,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797228032,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101797233920,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797240064,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797246976,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101797253120,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797260032,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797266944,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797273088,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101797280000,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101797286912,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101797294080,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101797299968,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101797306880,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101797313024,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797319936,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797327104,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101797332992,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101797339904,T7,AIN2,Voltage,true,-0.01138623058795929
1765400101797347072,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101797352960,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797360128,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797366016,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797372928,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101797380096,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797385984,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101797391872,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101797399040,T7,AIN2,Voltage,true,-0.012332413345575333
